kaggle_id,views
0,9918.838308369506
1,25447.113035242433
2,11680.047919408642
3,3123.6350201666273
4,3608.8582232020717
5,3039.0571060092475
6,24572.908943928738
7,27506.61228758087
8,4189.378186798172
9,30452.49037564761
10,10418.17672004691
11,5534.908394237352
12,11079.197089640513
13,11243.796071479705
14,10423.379156599009
15,10980.959789779527
16,2807.2797328528595
17,4783.371945930872
18,31184.55904818732
19,33988.08449619651
20,2419.8980179802306
21,19250.827852359278
22,11219.223719873446
23,4070.9837853886643
24,3208.057179464134
25,3478.473120090241
26,2742.3523941681588
27,29632.95329303888
28,35861.721467678086
29,2630.982928698455
30,4486.580803930281
31,5902.102542348575
32,7167.422970170762
33,30779.445175515815
34,34883.93563549526
35,10306.547453024394
36,33723.110095096235
37,9600.208999690441
38,10579.190310112526
39,3133.6998155523333
40,29805.586295696365
41,11163.71290364985
42,3999.2489504355394
43,3054.268502882444
44,10688.601129741353
45,3999.2489504355394
46,3046.5799472400718
47,3447.1058943462103
48,27435.448296551764
49,30769.571960114634
50,14069.468304311908
51,3500.824832498466
52,10101.56163118033
53,10598.374996708482
54,11658.571266682678
55,11134.907165351182
56,29287.36412950984
57,34259.25973673737
58,34846.398770926746
59,22774.464274677142
60,29947.50064650202
61,26531.29114985104
62,4115.577512960068
63,4454.805589138848
64,33802.370353266684
65,9196.486990119372
66,4064.3208181948476
67,23143.19742811993
68,9411.447816592034
69,38667.267531848105
70,9482.0606962837
71,3891.7611408306343
72,37189.27534656769
73,11163.693317111241
74,4131.334714959266
75,2604.962678431581
76,3760.3877899476056
77,12447.997798712082
78,3621.83302265659
79,33802.370353266684
80,10161.171821062291
81,11182.114703578462
82,23786.321792746403
83,4945.7657453869715
84,31503.665458602543
85,12900.10130030083
86,10861.742394762745
87,3504.969189231385
88,5782.572936499368
89,3283.5915301649966
90,4347.258327758792
91,4880.045500082713
92,24983.829561257826
93,28555.659496838474
94,11695.372572333636
95,23082.427123119232
96,3242.120072502146
97,5091.535325290075
98,4264.930117074908
99,33244.78930818084
100,2889.279196146561
101,10399.362049944646
102,4248.225246142471
103,6020.593471031048
104,6445.071782803663
105,2634.95399487222
106,6341.941901855849
107,3065.8232683477418
108,3434.9739098373125
109,34131.6655128478
110,3795.1152716694614
111,29875.36220534813
112,34069.58346172247
113,2594.6251462906102
114,10912.669228795417
115,3647.7516344768683
116,11791.595063962775
117,29397.041418432724
118,32993.17723840338
119,3447.1058943462103
120,11268.741339487076
121,2772.3637457870104
122,5550.102066083976
123,10938.198090093612
124,29388.48912819066
125,30973.788143464306
126,35365.62581212682
127,33471.49802531879
128,4161.001279291404
129,9859.13105469191
130,3486.9525643632423
131,10768.887991825108
132,31000.587072214777
133,3326.9534661066396
134,2859.2429253513656
135,36332.921215403876
136,27081.663108048182
137,6313.776576947479
138,3125.9191080001087
139,11553.600364144893
140,22090.67975125323
141,22604.10633620382
142,9952.4740079236
143,2902.51593222567
144,33454.94015482957
145,11143.54063296567
146,27544.765727669008
147,30178.74965949345
148,5966.80156708752
149,27619.11380128665
150,30475.22314917177
151,25091.162053794433
152,4307.878787160445
153,36131.089000532214
154,3125.9191080001087
155,30498.424381893918
156,23923.06454075063
